sec,nanosec,position_shoulder,velocity_shoulder,effort_shoulder
10036,740000000,0.588287346631085,-0.026121066837182304,nan
10036,750000000,0.5882873466310876,-0.02612106683692504,nan
10036,760000000,0.5882873466310867,-0.026121066836706026,nan
10036,770000000,0.5882873466310876,-0.02612106683642204,nan
10036,780000000,0.5882873466310858,-0.026121066836027634,nan
10036,790000000,0.5882873466310876,-0.02612106683587368,nan
10036,800000000,0.5882873466310885,-0.0261210668354583,nan
10036,810000000,0.5882873466310885,-0.026121066835081596,nan
10036,820000000,0.5882873466310885,-0.026121066834749088,nan
10036,830000000,0.5882873466310903,-0.02612106683407235,nan
10036,840000000,0.5882873466310885,-0.026121066833846282,nan
10036,850000000,0.5882873466310894,-0.02612106683338794,nan
10036,860000000,0.5882873466310903,-0.026121066832912862,nan
10036,870000000,0.5882873466310912,-0.02612106683228648,nan
10036,880000000,0.5882873466310912,-0.026121066831735054,nan
10036,890000000,0.5882873466310912,-0.02612106683133643,nan
10036,900000000,0.5882873466310921,-0.026121066830734438,nan
10036,910000000,0.5882873466310929,-0.026121066830071468,nan
10036,920000000,0.5882873466310938,-0.02612106682932101,nan
10036,930000000,0.5882873466310938,-0.026121066828659403,nan
10036,940000000,0.5882873466310956,-0.02612106682809062,nan
10036,950000000,0.5882873466310956,-0.026121066827421283,nan
10036,960000000,0.5882873466310956,-0.02612106682676374,nan
10036,970000000,0.5882873466310974,-0.026121066825868323,nan
10036,980000000,0.5882873466310983,-0.02612106682521777,nan
10036,990000000,0.5882873466310992,-0.02612106682435602,nan
10037,0,0.5882873466310992,-0.02612106682358667,nan
10037,10000000,0.5882873466311009,-0.026121066822838858,nan
10037,20000000,0.5882873466311027,-0.026121066822039143,nan
10037,30000000,0.5882873466311027,-0.0261210668212714,nan
10037,40000000,0.5882873466311027,-0.02612106682029409,nan
10037,50000000,0.5882873466311036,-0.02612106681946906,nan
10037,60000000,0.5882873466311054,-0.026121066818751072,nan
10037,70000000,0.5882873466311054,-0.026121066817854827,nan
10037,80000000,0.5882873466311063,-0.026121066816880877,nan
10037,90000000,0.5882873466311072,-0.026121066815858563,nan
10037,100000000,0.5882873466311089,-0.026121066814974874,nan
10037,110000000,0.5882873466311098,-0.02612106681386888,nan
10037,120000000,0.5882873466311098,-0.02612106681312139,nan
10037,130000000,0.5882873466311089,-0.02612106681201061,nan
10037,140000000,0.5882873466311134,-0.026121066811181228,nan
10037,150000000,0.5882873466311134,-0.02612106681013769,nan
10037,160000000,0.5882873466311125,-0.026121066809090158,nan
10037,170000000,0.5882873466311169,-0.026121066808027654,nan
10037,180000000,0.5882873466311169,-0.026121066806997082,nan
10037,190000000,0.5882873466311151,-0.02612106680592972,nan
10037,200000000,0.5882873466311187,-0.026121066804939214,nan
10037,210000000,0.5882873466311205,-0.02612106680379013,nan
10037,220000000,0.5882873466311205,-0.026121066802772822,nan
10037,230000000,0.5882873466311196,-0.0261210668016874,nan
10037,240000000,0.588287346631124,-0.026121066800573998,nan
10037,250000000,0.588287346631124,-0.026121066799432345,nan
10037,260000000,0.5882873466311258,-0.0261210667981467,nan
10037,270000000,0.5882873466311267,-0.026121066797084768,nan
10037,280000000,0.5882873466311276,-0.026121066796055043,nan
10037,290000000,0.5882873466311285,-0.026121066794937725,nan
10037,300000000,0.5882873466311311,-0.02612106679384783,nan
10037,310000000,0.5882873466311311,-0.026121066792511853,nan
10037,320000000,0.5882873466311311,-0.02612106679141923,nan
10037,330000000,0.5882873466311347,-0.026121066790316835,nan
10037,340000000,0.5882873466311347,-0.0261210667890921,nan
10037,350000000,0.5882873466311347,-0.026121066787872,nan
10037,360000000,0.5882873466311382,-0.02612106678663617,nan
10037,370000000,0.5882873466311382,-0.026121066785412327,nan
10037,380000000,0.5882873466311391,-0.026121066784179494,nan
10037,400000000,0.5882873466311418,-0.02612106678155614,nan
10037,410000000,0.5882873466311418,-0.02612106678042616,nan
10037,420000000,0.5882873466311453,-0.026121066779242072,nan
10037,430000000,0.5882873466311453,-0.02612106677801628,nan
10037,440000000,0.5882873466311489,-0.026121066776749458,nan
10037,450000000,0.5882873466311489,-0.026121066775251847,nan
10037,460000000,0.5882873466311489,-0.026121066774210975,nan
10037,470000000,0.588287346631148,-0.026121066772892568,nan
10037,480000000,0.5882873466311525,-0.026121066771637915,nan
10037,490000000,0.5882873466311507,-0.026121066770196422,nan
10037,500000000,0.5882873466311551,-0.026121066768734127,nan
10037,510000000,0.5882873466311542,-0.02612106676762597,nan
10037,520000000,0.5882873466311569,-0.026121066766279594,nan
10037,530000000,0.5882873466311596,-0.026121066764976678,nan
10037,540000000,0.5882873466311578,-0.026121066763653784,nan
10037,550000000,0.5882873466311613,-0.026121066762144957,nan
10037,560000000,0.5882873466311631,-0.026121066760897097,nan
10037,570000000,0.5882873466311631,-0.02612106675946783,nan
10037,580000000,0.5882873466311667,-0.026121066758298638,nan
10037,590000000,0.5882873466311667,-0.02612106675695178,nan
10037,600000000,0.5882873466311658,-0.026121066755480572,nan
10037,610000000,0.5882873466311693,-0.02612106675424093,nan
10037,620000000,0.5882873466311684,-0.02612106675283611,nan
10037,630000000,0.5882873466311729,-0.02612106675148196,nan
10037,640000000,0.5882873466311738,-0.02612106674998987,nan
10037,650000000,0.5882873466311729,-0.026121066748722128,nan
10037,660000000,0.5882873466311773,-0.026121066747368454,nan
10037,670000000,0.5882873466311764,-0.026121066745966783,nan
10037,680000000,0.5882873466311791,-0.02612106674465344,nan
10037,690000000,0.5882873466311809,-0.02612106674315351,nan
10037,700000000,0.58828734663118,-0.026121066741692168,nan
10037,710000000,0.5882873466311827,-0.026121066740341512,nan
10037,720000000,0.5882873466311844,-0.026121066738980687,nan
10037,730000000,0.5882873466311862,-0.026121066737535743,nan
10037,740000000,0.5882873466311862,-0.0261210667361161,nan
10037,750000000,0.588287346631188,-0.026121066734658322,nan
10037,760000000,0.5882873466311924,-0.02612106673339815,nan
10037,770000000,0.5882873466311898,-0.026121066732013636,nan
10037,780000000,0.5882873466311924,-0.026121066730516472,nan
10037,790000000,0.5882873466311951,-0.02612106672884755,nan
10037,800000000,0.5882873466311942,-0.0261210667276222,nan
10037,810000000,0.5882873466311986,-0.02612106672605157,nan
10037,820000000,0.5882873466311986,-0.02612106672473118,nan
10037,830000000,0.5882873466311995,-0.02612106672318615,nan
10037,840000000,0.5882873466312013,-0.02612106672178401,nan
10037,850000000,0.588287346631204,-0.02612106672015509,nan
10037,860000000,0.5882873466312057,-0.026121066718916647,nan
10037,870000000,0.588287346631204,-0.0261210667176078,nan
10037,880000000,0.5882873466312075,-0.02612106671609792,nan
10037,890000000,0.5882873466312075,-0.026121066714521045,nan
10037,900000000,0.5882873466312093,-0.02612106671304055,nan
10037,910000000,0.5882873466312128,-0.02612106671173113,nan
10037,920000000,0.5882873466312111,-0.02612106671028549,nan
10037,930000000,0.5882873466312155,-0.026121066708621684,nan
10037,940000000,0.5882873466312164,-0.026121066707165606,nan
10037,950000000,0.5882873466312164,-0.026121066705783003,nan
10037,960000000,0.58828734663122,-0.026121066704333343,nan
10037,970000000,0.5882873466312182,-0.026121066702924665,nan
10037,980000000,0.5882873466312235,-0.026121066701453623,nan
10037,990000000,0.5882873466312235,-0.026121066699904202,nan
10038,0,0.5882873466312235,-0.02612106669850298,nan
10038,10000000,0.5882873466312271,-0.026121066697008064,nan
10038,20000000,0.5882873466312271,-0.026121066695562172,nan
10038,30000000,0.5882873466312306,-0.0261210666939619,nan
10038,40000000,0.5882873466312297,-0.02612106669246443,nan
10038,50000000,0.5882873466312342,-0.026121066691128934,nan
10038,60000000,0.5882873466312333,-0.02612106668972523,nan
10038,70000000,0.5882873466312324,-0.026121066688138402,nan
10038,80000000,0.5882873466312377,-0.026121066686660747,nan
10038,90000000,0.5882873466312377,-0.02612106668492988,nan
10038,100000000,0.5882873466312413,-0.02612106668357665,nan
10038,110000000,0.5882873466312413,-0.026121066682150012,nan
10038,120000000,0.5882873466312422,-0.02612106668068684,nan
10038,130000000,0.5882873466312439,-0.026121066679176592,nan
10038,140000000,0.5882873466312475,-0.026121066677418828,nan
10038,150000000,0.5882873466312484,-0.026121066676101166,nan
10038,160000000,0.5882873466312475,-0.026121066674672726,nan
10038,170000000,0.5882873466312519,-0.026121066673096854,nan
10038,180000000,0.5882873466312519,-0.026121066671544086,nan
10038,190000000,0.5882873466312537,-0.026121066670128847,nan
10038,200000000,0.5882873466312555,-0.026121066668554724,nan
10038,210000000,0.5882873466312537,-0.026121066667173343,nan
10038,220000000,0.588287346631259,-0.026121066665678365,nan
10038,230000000,0.588287346631259,-0.02612106666404251,nan
10038,240000000,0.5882873466312626,-0.026121066662553993,nan
10038,250000000,0.5882873466312626,-0.026121066661105308,nan
10038,260000000,0.5882873466312626,-0.026121066659705157,nan
10038,270000000,0.5882873466312661,-0.02612106665808326,nan
10038,280000000,0.5882873466312653,-0.026121066656491044,nan
10038,290000000,0.5882873466312697,-0.02612106665497069,nan
10038,300000000,0.5882873466312688,-0.026121066653476695,nan
10038,310000000,0.5882873466312715,-0.02612106665219405,nan
10038,320000000,0.5882873466312715,-0.026121066650446986,nan
10038,330000000,0.5882873466312741,-0.026121066648912408,nan
10038,340000000,0.5882873466312768,-0.026121066647344683,nan
10038,350000000,0.5882873466312768,-0.026121066645945743,nan
10038,360000000,0.5882873466312795,-0.026121066644561406,nan
10038,370000000,0.5882873466312786,-0.026121066643071535,nan
10038,380000000,0.5882873466312804,-0.02612106664148797,nan
10038,390000000,0.588287346631283,-0.026121066639834038,nan
10038,400000000,0.5882873466312839,-0.026121066638174224,nan
10038,410000000,0.5882873466312866,-0.026121066636830094,nan
10038,420000000,0.5882873466312866,-0.026121066635482873,nan
10038,430000000,0.5882873466312919,-0.026121066633910558,nan
10038,440000000,0.5882873466312901,-0.02612106663225738,nan
10038,450000000,0.5882873466312937,-0.02612106663084942,nan
10038,460000000,0.5882873466312928,-0.026121066629328754,nan
10038,470000000,0.5882873466312954,-0.026121066627856456,nan
10038,480000000,0.5882873466312963,-0.026121066626208677,nan
10038,490000000,0.5882873466312963,-0.02612106662466525,nan
10038,500000000,0.5882873466313008,-0.026121066623241783,nan
10038,510000000,0.5882873466312999,-0.026121066621839287,nan
10038,520000000,0.5882873466313034,-0.026121066620205274,nan
10038,530000000,0.5882873466313043,-0.026121066618643326,nan
10038,540000000,0.5882873466313052,-0.026121066617168308,nan
10038,550000000,0.588287346631307,-0.026121066615689494,nan
10038,560000000,0.5882873466313088,-0.02612106661412611,nan
10038,570000000,0.5882873466313114,-0.026121066612585887,nan
10038,580000000,0.5882873466313123,-0.026121066611031855,nan
10038,590000000,0.5882873466313141,-0.02612106660962542,nan
10038,600000000,0.588287346631315,-0.02612106660797111,nan
10038,610000000,0.5882873466313159,-0.02612106660644121,nan
10038,620000000,0.5882873466313194,-0.026121066604997068,nan
10038,630000000,0.5882873466313194,-0.026121066603425103,nan
10038,640000000,0.5882873466313221,-0.0261210666017901,nan
10038,650000000,0.5882873466313221,-0.02612106660041203,nan
10038,660000000,0.5882873466313239,-0.02612106659894081,nan
10038,670000000,0.5882873466313256,-0.02612106659726704,nan
10038,680000000,0.5882873466313265,-0.02612106659572823,nan
10038,690000000,0.5882873466313301,-0.026121066594119943,nan
10038,700000000,0.5882873466313301,-0.026121066592664804,nan
10038,710000000,0.5882873466313319,-0.026121066591238126,nan
10038,720000000,0.5882873466313328,-0.02612106658969052,nan
10038,730000000,0.5882873466313354,-0.026121066588160727,nan
10038,740000000,0.5882873466313363,-0.026121066586530597,nan
10038,750000000,0.5882873466313381,-0.026121066585076815,nan
10038,760000000,0.588287346631339,-0.02612106658357397,nan
10038,770000000,0.5882873466313407,-0.026121066581990874,nan
10038,780000000,0.5882873466313443,-0.026121066580350957,nan
10038,790000000,0.5882873466313425,-0.02612106657888373,nan
10038,800000000,0.5882873466313479,-0.026121066577451,nan
10038,810000000,0.5882873466313479,-0.026121066575831655,nan
10038,820000000,0.5882873466313479,-0.02612106657440523,nan
10038,830000000,0.5882873466313505,-0.02612106657284166,nan
10038,840000000,0.5882873466313505,-0.026121066571234,nan
10038,850000000,0.588287346631355,-0.026121066569718774,nan
10038,860000000,0.588287346631355,-0.026121066568244748,nan
10038,870000000,0.5882873466313567,-0.026121066566646502,nan
10038,880000000,0.5882873466313576,-0.026121066564984443,nan
10038,890000000,0.5882873466313585,-0.026121066563634693,nan
10038,900000000,0.5882873466313612,-0.02612106656207438,nan
10038,910000000,0.5882873466313612,-0.026121066560533857,nan
10038,920000000,0.5882873466313656,-0.02612106655896477,nan
10038,930000000,0.5882873466313638,-0.026121066557362283,nan
10038,940000000,0.5882873466313692,-0.026121066555956057,nan
10038,950000000,0.5882873466313683,-0.026121066554499903,nan
10038,960000000,0.5882873466313692,-0.026121066552909765,nan
10038,970000000,0.5882873466313727,-0.026121066551301367,nan
